age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,"Q1: There is widespread mental health epidemics, problems such as depression and anxiety and many more. But WHY? In our opinion, what is the leading cause and what is the second-leading cause of this collective increase? For each of them can you briefly mention how that factor leads to a mental health problem?",favorite_modern_feature_2,favorite_modern_feature_3,"Q2: What is your favorite thing about the modern human life, what is your second-favorite thing, and what is your least-favorite thing?",mothers_specific,fathers_specific,children_specific
19,M,13,Financial hardships,social isolation,"Many people cannot afford the things they need, making it very difficult to get the things that they want. This can make them sad.",,technology,"Financial hardships and social isolation. Many people cannot afford the things they need, making it very difficult to get the things that they want. This can make them sad. Also, many people are not able to build social relationships. Since humans are very social creatures, this can also make them sad.",transportation,weallth disparity,"Technology, all the different places on Earth. Least favorite is the wealth disparity.  ",Bad relationship with husbands,Financial hardships ,Bad parenting 
,M,13,social media,worldly unrest,"people are too absorbed in social media and are constantly drawing parallels between themselves and unattainable beauty and life standards. We create immense pressure on ourselves to be a reflection of these unattainable images and media that we consume but when more often than not we fall short, we spiral into bouts of depression and anxiety.",,diversity,"Leading cause: social media - people are too absorbed in social media and are constantly drawing parallels between themselves and unattainable beauty and life standards. We create immense pressure on ourselves to be a reflection of these unattainable images and media that we consume but when more often than not we fall short, we spiral into bouts of depression and anxiety. 

Second leading cause: worldly unrest (wars) - the world has always been in some state of unrest. Wars go back to the Earths very first days of existence. While it is good to be informed of the worlds news and politics it is a cause of mental distress as we fear for the state of the world and what it will all amount to in light of the violence. Racism, inner city violence, genocide, etc. are all topics that have prevalence in todays society and causes of mental distress. ",transportation,weapons,"Favorite: diversity in our communities and societies
Second-favorite: modern and evolving modes of transportation (bullet trains, electric cars, etc.)
Least-favorite: access to weapons",Managing motherhood with personal/ professional needs,Inflation ,social media 
19,M,15,childhood abuse,chronic illness,it can leave trauma,,internet,"Childhood abuse as it can leave trauma, chronic illness because it leads to stress and isolation ",e-commerce,scams,"Internet, E commerce",Workload,Financial burden,Academic pressure
23,F,14,trauma,stress,one might have past traumas currently affecting them or they might be receiving abuse from close ones,,digital commnication,"Leading cause: Trauma and abuse
Second: High stressful environment
They both lead to mental health problems such that one might have past traumas currently affecting them or they might be receiving abuse from close ones. Also, one might be living a stressful lifestyle which breaks them down and leads to depression or anxiety.",access to resources,useless information,"Favorite: Easy to keep contact with friends and family, and get to know likeminded people

Second favorite: Access to ressources is a lot easier

Least favorite: Bombarded with useless information and trends due to internet and modern media",stress,Work,school
21,F,14,social media,lack of support,I think social media results in the user making inevitable comparisons to others. This can cause feelings of inadequacy and parents (consciously or subconsciously) pressuring their children to conform to a certain version of success that may result in anxiety for the child. I also think social media prevents both parents and children from bonding and interacting together in-person.,,digital communication,"Leading cause: social media in terms of human interaction (instagram, TikTok, snapchat, BeReal, LinkedIn etc... )

I think social media results in the user making inevitable comparisons to others. This can  cause feelings of inadequacy and parents (consciously or subconsciously) pressuring their children to conform to a certain version of success that may result in anxiety for the child. I also think social media prevents both parents and children from bonding and interacting together in-person. This can cause families to feel a lack of connection and support. 

Second-leading cause: lack of support and resources to handle the rise in mental heath issues

Schools, colleges, and even workplaces need to offer support or resources for those struggling. Having destressing events, mediation, talks about mental health etc... can make it easier for those experiencing mental illness symptoms to recognize them and treat it before it spirals out of hand.  ",AI,misinformation,"favorite thing: the ability for humans to connect with others (keep up, innovate, etc..).

second-favorite: the efficiencies of life (AI, virtual meetings, etc...). However, I feel like these efficiencies sometimes lead to a lack of meaningful connection between humans. 

least-favorite: spread of misinformation, deepfakes etc...","I think the biggest factor today that harms the mental health of mothers is the stress of not being appreciated. What a mom does for her family is often out of unconditional love and care. When kids are disrespectful or the father is unappreciative, I think it can cause feelings of loneliness and hopelessness. ",I think the biggest factor today that harms the mental health of fathers is the stress of supporting a family (and trying to reach their potential).,I think the biggest factor today that harms the mental health of children is social media. 
21,M,12,trauma,stress,lead to mental health problems in a way that one's past traumas or being abused/going through an abuse could lead to depression and anxiety,break someone down physically and mentally.,modern inventions,"Leading cause: are abuse and trauma.
second leading: is a stressful lifestyle.
both factors lead to mental health problems in a way that one's past traumas or being abused/going through an abuse could lead to depression and anxiety. Also, living a stressful lifestyle could break someone down physically and mentally.",education,negative technology,"favorite thing: access to modern inventions and technologies.
second: easy access to creativity and education
least: negative impacts of technologies",Being stressed on how to provide for their loved one's effectively.,Being isolated and shy to speak out about their worries as a man.,being traumatized by people around them and online abuse.
26,M,16,social isolation,anxiety,people need to interact with others to feel a sense of community and increase uncertainty in people’s futures as this heightens anxiety.,people are less comfortable and experienced in common situations,information,Lack of social interactions since people  need to interact with others to feel a sense of community and increase uncertainty in people’s futures as this heightens anxiety.,running water,misinformation,"Access to large amounts of information in seconds, having running water, and a fridge",Postpartum depression,It is becoming harder to make enough money to provide for your family.,Social media
22,M,15,social media,inflation,"individuals at all ages are constantly presented with falsified versions of others. Individuals are constantly viewing the idealized versions of others, with filters and other manipulation techniques. These comparisons they make pushes them to believe they need to change themselves and that they are worth less, causing mental health issues.",Individuals are stressed and worried that they will not be able to afford the same things their parents and previous generations did. That constant worry translates to mental health problems.,digital communication,"I believe the leading cause is the propensity of social media and how individuals at all ages are constantly presented with falsified versions of others. Individuals are constantly viewing the idealized versions of others, with filters and other manipulation techniques. These comparisons they make pushes them to believe they need to change themselves and that they are worth less, causing mental health issues. I believe the second leading cause is inflation and the increasing costs of the most basic items. Individuals are stressed and worried that they will not be able to afford the same things their parents and previous generations did. That constant worry translates to mental health problems.",access to knowledge,deception,"My favorite thing is connecting with others in so many ways, by text, call, in-person, etc. My second favorite thing is how much we can learn online. My least favorite thing is the constant bombardment of falsified images of others.","I believe it is the pressure to quickly go back to work and provide for the family, as dual incomes are much more needed than ever.","I believe it is that fathers do not understand their role in supporting the child, struggling to both be understanding while also firm.",I believe it is the overload of information from a young age available online.
20,F,13,misinformation,social isolation,has led to people becoming more anxious.,the rise of remote school and work.,information,"1. Spread of misinformation in the media has led to people becoming more anxious. 
2. People are more isolated from one another with the rise of remote school and work. ","utilities (water,electricity)",social media,"1. Access to information 
2. Access to utilities such as water, electricity, etc. 
3. Social media is my least favorite. ",Women struggle to balance their personal and professional needs with family life. ,Economic instability ,Social media 
22,M,15,social media,stress,people making constant comparisons with what they see vs what they have.,high prices for regular goods,digital communication,I think the leading cause is Social Media and people making constant comparisons with what they see vs what they have.,access to knowledge,human waste,The connectivity/globalization and access to knowledge is my favorite thing and my least favorite thing would be the sheer amount of waste produced by humans on a day to day basis ,the biggest factor that harms mothers' mental health tdy would be the worry of the harm that is so widespread and might befall their children ,The lack of acceptance of embracing emotions and loving family ,Social Media & constant comparisons 
